iter	Passed	Remaining
408	4816	1071
409	4827	1059
410	4838	1047
411	4850	1035
412	4862	1024
413	4874	1012
414	4885	1000
415	4896	988
416	4908	976
417	4919	965
418	4931	953
419	4942	941
420	4954	929
421	4966	917
422	4977	906
423	4988	894
424	5000	882
425	5011	870
426	5023	858
427	5034	846
428	5046	835
429	5057	823
430	5068	811
431	5080	799
432	5091	787
433	5103	776
434	5114	764
435	5125	752
436	5137	740
437	5148	728
438	5160	717
439	5171	705
440	5183	693
441	5194	681
442	5205	669
443	5216	657
444	5228	646
445	5239	634
446	5250	622
447	5262	610
448	5274	599
449	5285	587
450	5296	575
451	5308	563
452	5319	551
453	5331	540
454	5342	528
455	5353	516
456	5365	504
457	5376	493
458	5387	481
459	5399	469
460	5410	457
461	5422	445
462	5433	434
463	5445	422
464	5457	410
465	5468	398
466	5479	387
467	5493	375
468	5505	363
469	5517	352
470	5562	342
471	5574	330
472	5585	318
473	5597	307
474	5608	295
475	5619	283
476	5631	271
477	5643	259
478	5663	248
479	5675	236
480	5687	224
481	5699	212
482	5710	200
483	5721	189
484	5733	177
485	5752	165
486	5764	153
487	5775	142
488	5787	130
489	5798	118
490	5810	106
491	5821	94
492	5833	82
493	5844	70
494	5856	59
495	5867	47
496	5879	35
497	5891	23
498	5902	11
499	5914	0
