mal_id,title,type,status,score,start_date,rank,popularity,members,favorites,genres,themes,episodes,season,year,season_length
160,"Ima, Soko ni Iru Boku",TV,Finished Airing,7.57,1999-10-14 00:00:00+00:00,1741.0,1645,156538,1249,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']","['Isekai', 'Military']",13.0,Fall,1999,Short
37744,Isekai Cheat Magician,TV,Finished Airing,5.48,2019-07-10 00:00:00+00:00,12544.0,741,357111,567,"['Action', 'Adventure', 'Fantasy']",['Isekai'],12.0,Summer,2019,Short
52830,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",TV,Finished Airing,6.34,2023-04-07 00:00:00+00:00,8240.0,722,364905,2298,"['Action', 'Adventure', 'Fantasy']","['Isekai', 'School']",13.0,Spring,2023,Short
52359,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,TV,Finished Airing,6.78,2024-01-07 00:00:00+00:00,5569.0,2460,90365,438,"['Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",12.0,Winter,2024,Short
37210,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,TV,Finished Airing,6.82,2018-07-05 00:00:00+00:00,5383.0,284,778419,2553,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai']",12.0,Summer,2018,Short
41623,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,TV,Finished Airing,6.69,2021-04-09 00:00:00+00:00,6087.0,555,452475,2775,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai']",10.0,Spring,2021,Short
44524,Isekai Meikyuu de Harem wo,TV,Finished Airing,6.53,2022-07-06 00:00:00+00:00,0.0,930,287839,2172,"['Action', 'Adventure', 'Fantasy', 'Erotica']","['Harem', 'Isekai']",12.0,Summer,2022,Short
59130,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,TV,Finished Airing,6.7,2025-07-06 00:00:00+00:00,6063.0,2565,84676,292,"['Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",13.0,Summer,2025,Short
60226,Isekai no Sata wa Shachiku Shidai,TV,Not yet aired,6.98,2026-01-01 00:00:00+00:00,4677.0,10121,3818,12,"['Boys Love', 'Fantasy']","['Adult Cast', 'Isekai']",12.0,Winter,2026,Short
51462,Isekai Nonbiri Nouka,TV,Finished Airing,7.54,2023-01-06 00:00:00+00:00,1874.0,1016,266508,2093,"['Fantasy', 'Slice of Life']",['Isekai'],12.0,Winter,2023,Short
